race_id,horse_no,horse_id,result,won,lengths_behind,horse_age,horse_country,horse_type,horse_rating,horse_gear,declared_weight,actual_weight,draw,position_sec1,position_sec2,position_sec3,position_sec4,position_sec5,position_sec6,behind_sec1,behind_sec2,behind_sec3,behind_sec4,behind_sec5,behind_sec6,time1,time2,time3,time4,time5,time6,finish_time,win_odds,place_odds,trainer_id,jockey_id,date,venue,surface
6349,5,1718,4,False,1.75,3,NZ,Gelding,90,--,1036.0,132,6,11,5,6,,,,3.75,3.0,1.25,,,,14.94,22.36,23.68,,,,58.78,6.3,5.5,117,2,2000-06-27,ST,0
6350,11,2703,8,False,5.5,3,AUS,Gelding,65,B,1056.0,119,5,12,1,6,10.0,,,4.0,5.5,1.5,,,,13.72,22.73,23.77,22.12,,,101.95,20.0,1.9,97,57,2002-01-10,ST,1
6351,8,2462,6,False,3.75,6,NZ,Gelding,78,--,1229.0,125,5,3,1,3,9.0,,,3.25,4.25,5.75,7.5,,,14.65,21.87,24.19,24.03,,,123.76,27.0,1.9,164,34,1999-07-19,ST,0
6352,5,2216,8,False,1.75,3,NZ,Gelding,56,--,1095.0,131,2,1,1,1,,,,0.25,2.5,3.5,,,,28.32,23.32,24.72,,,,113.24,14.0,4.8,164,39,2001-08-02,ST,0
6353,1,32,10,False,0.0,6,NZ,Gelding,60,--,1057.0,120,9,10,10,10,1.0,,,0.75,3.25,2.75,,,,15.44,20.88,23.82,23.3,,,56.39,92.0,8.1,38,18,2005-01-18,ST,1
6354,9,1880,12,False,12.0,3,IRE,Gelding,60,--,1066.0,124,12,9,5,8,,1.0,,1.5,3.25,5.75,2.5,,,13.68,22.91,23.0,,24.15,,69.35,99.0,1.4,97,63,2002-07-15,ST,0
6355,10,1525,7,False,1.25,6,USA,Gelding,100,--,1099.0,128,5,9,7,1,,,,4.75,0.25,7.5,6.25,,,24.5,22.75,23.79,22.82,23.91,,58.08,15.0,2.6,4,131,2001-11-22,ST,0
6356,5,1819,9,False,0.5,3,AUS,Gelding,60,--,1167.0,116,11,11,10,5,8.0,,,6.75,1.25,2.25,5.25,,,24.17,22.28,26.08,24.49,,,101.05,64.0,1.5,27,2,2003-11-24,HV,0
6357,4,2793,3,False,16.25,3,AUS,Gelding,60,TT/H-/B,1079.0,128,11,2,6,7,7.0,,,6.5,4.75,2.5,,,,12.64,22.88,25.56,25.35,,,110.35,6.8,1.7,75,110,2002-07-11,HV,0
6358,4,3954,11,False,16.25,3,AUS,Gelding,60,--,1178.0,122,1,8,12,1,,,,0.5,4.0,1.0,2.25,2.5,,27.95,22.24,23.61,23.0,22.14,,101.72,34.0,7.9,7,151,1998-08-31,ST,0
6359,1,2157,5,False,1.75,5,AUS,Gelding,79,--,1313.0,131,7,4,7,2,,,,2.0,0.5,7.5,,,,13.95,21.97,22.77,,,,57.74,6.3,4.3,29,131,2005-10-10,ST,0
6360,4,2582,13,False,2.0,3,IRE,Gelding,60,--,1083.0,128,4,2,2,3,,,,3.5,1.5,1.5,,7.75,,13.44,23.49,24.0,23.61,,,70.41,20.0,4.6,29,128,2004-08-17,ST,0
6361,5,288,12,False,11.5,3,IRE,Gelding,58,--,958.0,122,8,6,1,2,4.0,,,1.5,1.75,2.0,,,,12.92,23.61,24.84,23.47,,,58.79,3.9,8.6,98,162,2006-02-06,HV,0
6362,11,1386,14,False,2.5,2,AUS,Gelding,53,--,1052.0,128,12,10,8,3,,10.0,,5.75,0.5,3.5,2.5,,,24.16,21.92,22.98,23.53,,,96.12,16.0,6.5,109,100,1999-10-03,ST,0
